,Name,Rating,Review_Count,Price,Street_Address,Zip_Code,Lat,Long,URL,Category
52,Tariq's 1 Halal Food,4.5,43,$,Corner Of 19th St And Park Ave S,10003.0,40.7377464,-73.9882183,https://www.yelp.com/biz/tariqs-1-halal-food-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
53,Uncle Gussy's,4.5,459,$,345 Park Ave,10154.0,40.7576813278964,-73.97329537375259,https://www.yelp.com/biz/uncle-gussys-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
54,Rice Noodle Cart,4.5,150,$,153 Centre St,10013.0,40.717931,-74.000283,https://www.yelp.com/biz/rice-noodle-cart-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
55,King Souvlaki - Astoria,4.0,298,$,31 St And 31 Ave,11106.0,40.7643238363402,-73.9235472679138,https://www.yelp.com/biz/king-souvlaki-astoria-astoria-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
56,Anton's Dumplings,4.5,65,$,"New york, NY 10011",10011.0,40.7311701,-74.00135870000003,https://www.yelp.com/biz/antons-dumplings-new-york-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
57,Hot Mini Cakes,4.5,88,$,SE Corner of Grand St & Bowery,10002.0,40.718388081003496,-73.9946562419968,https://www.yelp.com/biz/hot-mini-cakes-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
58,Red Hook Food Vendors,4.0,195,$,155 Bay St,11232.0,40.671844714382,-74.0031832507873,https://www.yelp.com/biz/red-hook-food-vendors-brooklyn-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
59,Sammy's Halal Food,4.0,114,$,NE Corner 6th Ave W 4th St,10012.0,40.72898,-73.99540999999998,https://www.yelp.com/biz/sammys-halal-food-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
60,Tacos y Quesadillas Mexicanos,4.0,41,$,6022 Roosevelt Ave,11377.0,40.7456882160225,-73.9029264450073,https://www.yelp.com/biz/tacos-y-quesadillas-mexicanos-woodside?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
61,Super Tacos,3.5,136,$,96TH St And Broadway,10025.0,40.795452,-73.973281,https://www.yelp.com/biz/super-tacos-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
62,Hester Street Fair,3.5,159,$$,25 Essex St,10002.0,40.71547460000001,-73.99001679999998,https://www.yelp.com/biz/hester-street-fair-new-york-3?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
63,Pete's Hot Dogs,5.0,9,$,"Jersey City, NJ 07087",7087.0,40.75358,-74.06345999999998,https://www.yelp.com/biz/petes-hot-dogs-jersey-city?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
64,Barbecue On A Stick,4.5,9,No data found,525 46th Ave,10001.0,40.7474496,-73.9541673,https://www.yelp.com/biz/barbecue-on-a-stick-long-island-city?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
65,Quick Stop,5.0,8,$,47th Street & Lexington Ave,10017.0,40.75467800000001,-73.973781,https://www.yelp.com/biz/quick-stop-new-york-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
66,Greek Street Meat Cart,4.5,11,$,Corner of Wall St. & Broad St.,10270.0,40.7068153765355,-74.0101611614227,https://www.yelp.com/biz/greek-street-meat-cart-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
67,Halal Cart,4.5,7,$,41ST And 3rd Ave,10017.0,40.75009,-73.97492,https://www.yelp.com/biz/halal-cart-new-york-72?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
68,Smorgasberg,4.5,7,$,Kent Ave,,40.6943817,-73.959343,https://www.yelp.com/biz/smorgasberg-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
69,El Bohio Grocery Slushie Man,4.5,7,$,98-17 39th Ave,11368.0,40.749581058161795,-73.8668705150485,https://www.yelp.com/biz/el-bohio-grocery-slushie-man-corona?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
70,Yeah Dawg Vegan,4.0,13,$,"Brooklyn, NY 11216",11216.0,40.6809730529785,-73.9476623535156,https://www.yelp.com/biz/yeah-dawg-vegan-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
71,Tamales y Elote Cart,4.5,9,$,Roosevelt Ave & 74 St,11372.0,40.74686,-73.89143,https://www.yelp.com/biz/tamales-y-elote-cart-jackson-heights?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
72,Habibi Gyro Halal Cart,4.5,5,$,163RD St And Southern Blvd,10459.0,40.8209915,-73.8916092,https://www.yelp.com/biz/habibi-gyro-halal-cart-bronx?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
73,Grub Street Food Festival,3.5,13,$$,Hester St & Essex St,10002.0,40.715549960732496,-73.9897502213717,https://www.yelp.com/biz/grub-street-food-festival-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
74,LAHI,4.5,5,$,47-01 111th St,11368.0,40.747311,-73.8531885,https://www.yelp.com/biz/lahi-queens?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
75,Halal Cart,4.5,5,$$,145th & Fredrick Douglass,10001.0,40.8228416,-73.94191740000002,https://www.yelp.com/biz/halal-cart-new-york-32?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
76,Workers,5.0,3,No data found,25 Union Sq W 15th St,10003.0,40.7363,-73.99108000000003,https://www.yelp.com/biz/workers-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
77,Kelewele,5.0,3,No data found,"Brooklyn, NY 11201",11201.0,40.6924476623535,-73.9913711547852,https://www.yelp.com/biz/kelewele-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
78,Potluck Cafe Food Truck,4.0,6,$,68th & Broadway,10023.0,40.7754402,-73.9820633,https://www.yelp.com/biz/potluck-cafe-food-truck-manhattan?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
79,Kam's Corner BBQ,4.5,3,$,Kissena Blvd & Sanford Ave,11355.0,40.7571402937174,-73.8270896673203,https://www.yelp.com/biz/kams-corner-bbq-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
80,Churro and Tapioca Cart,4.5,3,No data found,218 Ferry St,7105.0,40.7282,-74.15508,https://www.yelp.com/biz/churro-and-tapioca-cart-newark?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
81,Jhal NYC,5.0,2,$,"Queens Village, NY 11101",11101.0,40.75036,-73.94478000000002,https://www.yelp.com/biz/jhal-nyc-queens-village?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
82,De' Rangoon,5.0,2,No data found,Queen Night Market,11368.0,40.74777460000001,-73.8508249,https://www.yelp.com/biz/de-rangoon-corona?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
83,Turkish Coffee Cart,5.0,2,$,72 Wall St,10005.0,40.705900146080396,-74.0087120980024,https://www.yelp.com/biz/turkish-coffee-cart-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
84,Express Halal Cart,5.0,2,No data found,William St,,40.707481832132295,-74.008410199089,https://www.yelp.com/biz/express-halal-cart-new-york-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
85,The Archway,3.5,5,$$,Under The Manhattan Bridge,11201.0,40.7031103905469,-73.9876413345337,https://www.yelp.com/biz/the-archway-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
86,Mo's Burgers,4.0,4,No data found,153 Malcolm X Blvd,10026.0,40.80322,-73.94915,https://www.yelp.com/biz/mos-burgers-new-york-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
87,Wadadli Jerk,4.5,2,No data found,370 Tompkins Ave,11216.0,40.684781,-73.944547,https://www.yelp.com/biz/wadadli-jerk-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
88,Fruit Stand Guy On The Corner,4.5,2,No data found,"New York, NY 10023",10023.0,40.77611,-73.98158000000002,https://www.yelp.com/biz/fruit-stand-guy-on-the-corner-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
89,Kero's Halal Food Cart,4.5,2,$,125 Page Ave,10309.0,40.5210140165507,-74.23526735772529,https://www.yelp.com/biz/keros-halal-food-cart-staten-island?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
90,Shanta Halal Truck,4.5,2,No data found,E 14th St,,40.73232,-73.98488,https://www.yelp.com/biz/shanta-halal-truck-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
91,Chinatown Street Market,4.5,2,$$,Canal St,,40.7185044259095,-74.00076501646859,https://www.yelp.com/biz/chinatown-street-market-manhattan?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
92,Halal Cart,4.5,2,$,Avenue H At Nostrand Ave,11210.0,40.6315613,-73.9475403,https://www.yelp.com/biz/halal-cart-brooklyn-5?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
93,Souvlaki Master,4.5,2,No data found,Ditmars Blvd Station,11105.0,40.7756691,-73.91004179999999,https://www.yelp.com/biz/souvlaki-master-astoria?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
94,Tex Dawson's Chili Dogs,4.5,2,No data found,1690 S Ave,10314.0,40.60216,-74.18536,https://www.yelp.com/biz/tex-dawsons-chili-dogs-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
95,Manos Peruanas,3.5,3,No data found,"New York, NY 10036",10036.0,40.7587556507744,-73.98078670312108,https://www.yelp.com/biz/manos-peruanas-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
96,Dumbo Grillo,3.5,3,$,58 Pearl St,11201.0,40.7033378630877,-73.98767352104191,https://www.yelp.com/biz/dumbo-grillo-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
97,Tacos El Super Rancho,3.5,3,No data found,4108 108th St,11368.0,40.749714,-73.858462,https://www.yelp.com/biz/tacos-el-super-rancho-corona?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
98,UrbanSpace,3.0,5,$$,W 33rd St,10018.0,40.7517725,-73.994573,https://www.yelp.com/biz/urbanspace-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
99,Halal Food Cart,4.0,2,$,1095 Amsterdam Ave,10025.0,40.80513,-73.96207,https://www.yelp.com/biz/halal-food-cart-new-york-12?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Street Food
